iteration,fittest,mean_fitness,mean_links,max_links
0,0,0.0,13.85,40
1,0.05232098687429698,0.0013080246718574246,7.1,28
2,0.36199170014408777,0.016050214394517096,9.275,19
3,0.36199170014408777,0.016102019869700678,8.35,17
4,0.36199170014408777,0.02434143509802511,8.675,15
5,0.36199170014408777,0.010941416913105411,9.05,23
6,0.3639332359127361,0.027320440870119183,7.8,15
7,0.3639332359127361,0.019141867676062657,9.025,23
8,0.4652788493252454,0.05014570877990243,7.525,13
9,0.5034946012387552,0.044472192749231844,7.675,13
10,0.5034946012387552,0.032504351131216636,9.075,13
11,0.5034946012387552,0.057425925608245706,10.925,23
12,0.5034946012387552,0.021899096710377756,9.45,17
13,0.6463866354313791,0.05549457390109802,9.275,19
14,0.6986223605061644,0.03362522489843859,9.0,23
15,0.6986223605061644,0.027795136611151385,7.8,19
16,0.7038627993813908,0.05221479138054215,7.525,19
17,0.7985857818139297,0.1291967955571321,6.7,15
18,0.803493089033554,0.078997237671665,6.6,11
19,0.8054325029746752,0.08448397640680465,6.125,15
20,0.8054325029746752,0.06933046210218648,7.95,15
21,0.9436968984677814,0.043728235036061415,5.6,13
22,0.9436968984677814,0.049212877564937016,5.175,11
23,0.9436968984677814,0.04718484492338907,5.725,15
24,0.9436968984677814,0.15939688411235223,5.85,10
25,0.9436968984677814,0.04438870207438722,7.3,43
26,1.0211021173152584,0.15258221064103933,5.525,8
27,1.0211021173152584,0.08249593274883069,5.425,10
28,1.0211021173152584,0.10574513215284038,5.3,11
29,1.0211021173152584,0.08663546149572657,6.6,15
30,1.0211021173152584,0.12260890941076967,5.675,11
31,1.0211021173152584,0.10059562406820577,7.825,27
32,1.03294216811801,0.10013600972570633,6.925,28
33,1.03294216811801,0.0771408660491009,6.35,21
34,1.0570532072454353,0.07826868422543366,6.3,19
35,1.0981119856549648,0.1414846359535816,6.15,11
36,1.1077122897838696,0.10629814842386827,6.275,22
37,1.1077122897838696,0.10930960377448681,7.775,43
38,1.1077122897838696,0.1301227376795636,7.925,23
39,1.1077122897838696,0.11191575859810358,7.15,22
40,1.1077122897838696,0.038001918331593124,9.025,27
41,1.1077122897838696,0.0694379801160829,12.1,39
42,1.1077122897838696,0.06352213356910422,12.3,23
43,1.1077122897838696,0.08271888927625332,9.425,24
44,1.1659124441657445,0.2385054520953028,9.95,28
45,1.1659124441657445,0.032269679155475246,9.8,28
46,1.1659124441657445,0.10607600484216073,11.75,27
47,1.1659124441657445,0.057402023220033606,15.075,37
48,1.1659124441657445,0.10638769271124995,15.8,63
49,1.1659124441657445,0.07304938522302626,11.9,33
50,1.1659124441657445,0.04851705500113509,10.25,23
51,1.1659124441657445,0.0438363137375984,13.25,33
52,1.1659124441657445,0.06986884346281534,8.375,19
53,1.1659124441657445,0.08196324871662589,10.325,27
54,1.1659124441657445,0.06903484162191582,10.25,39
55,1.1659124441657445,0.05731573373205403,10.125,30
56,1.1870564354000015,0.08436633580225042,11.45,31
57,1.1870564354000015,0.08230408245261564,11.55,28
58,1.1870564354000015,0.08094676914956662,13.85,40
