generation,best_fitness,mean_fitness,std_fitness,best_ever,mean_links,max_links
0,0.8688838405630892,0.16689088643084396,0.24837714269412406,0,27.175,91
1,1.4254362971721506,0.2546251200173223,0.3152580964984824,0.8688838405630892,15.075,45
2,1.6088743877303993,0.2865040748010717,0.42418201960866075,1.4254362971721506,9.6,30
3,2.0225145807125857,0.38265409984421267,0.5003747478708563,1.6088743877303993,10.225,30
4,2.0225145807125857,0.21428259623762774,0.41376507420460185,2.0225145807125857,10.275,31
5,2.0225145807125857,0.26161602124862904,0.41868523827670395,2.0225145807125857,10.125,31
6,2.0225145807125857,0.36646026832479545,0.45333292948820064,2.0225145807125857,9.0,31
7,2.0225145807125857,0.3983532379880909,0.47258599364572795,2.0225145807125857,7.825,49
8,2.0225145807125857,0.3487554029278689,0.4319649832132054,2.0225145807125857,7.6,31
9,2.0225145807125857,0.40877642915809076,0.4210613314003966,2.0225145807125857,6.325,16
10,2.0225145807125857,0.39652963963409327,0.42869056740429223,2.0225145807125857,6.525,40
11,2.0225145807125857,0.4005844645734606,0.48119802857587857,2.0225145807125857,5.4,25
12,2.0225145807125857,0.38329965334773825,0.43821814475144655,2.0225145807125857,6.0,49
13,2.0225145807125857,0.43262625133792676,0.4220901521175254,2.0225145807125857,4.475,22
14,2.0225145807125857,0.5341172172498321,0.43510411104542934,2.0225145807125857,3.975,40
15,2.0225145807125857,0.5626826733876978,0.4034948437331311,2.0225145807125857,3.9,33
16,2.0225145807125857,0.6461571411053908,0.4196586182242987,2.0225145807125857,2.725,16
17,2.0225145807125857,0.5680040343805689,0.40622572191083967,2.0225145807125857,5.55,40
18,2.0225145807125857,0.683562978584307,0.391478049149324,2.0225145807125857,2.05,11
19,2.0225145807125857,0.6048028799892254,0.3624683967888472,2.0225145807125857,3.85,25
20,2.0225145807125857,0.6240693380295763,0.3517839873664098,2.0225145807125857,3.025,31
21,2.0225145807125857,0.6189031702039689,0.3602548550776451,2.0225145807125857,3.075,40
22,2.0225145807125857,0.6747021342645743,0.31234028674025976,2.0225145807125857,3.225,40
23,2.0225145807125857,0.6774810556842609,0.3238283719123577,2.0225145807125857,2.05,13
24,2.0225145807125857,0.579423077494473,0.37558459426862056,2.0225145807125857,3.875,31
25,2.0225145807125857,0.4979801959756731,0.391805608443221,2.0225145807125857,4.425,23
26,2.0225145807125857,0.6199957507833801,0.3375310858077338,2.0225145807125857,3.725,40
27,2.0225145807125857,0.6080852718501092,0.36529838485714317,2.0225145807125857,3.0,14
28,2.0225145807125857,0.6250416717481763,0.3543176472595812,2.0225145807125857,2.6,28
29,2.0225145807125857,0.6794073874870922,0.31350191389468335,2.0225145807125857,2.525,16
30,2.0225145807125857,0.5814054457155897,0.38127164810841446,2.0225145807125857,3.275,28
31,2.0225145807125857,0.6518502909748284,0.33228195671877636,2.0225145807125857,4.025,25
32,2.0225145807125857,0.7036161417749593,0.3015121381191802,2.0225145807125857,2.3,25
33,2.0225145807125857,0.7216458135912572,0.34475409506101434,2.0225145807125857,2.25,22
34,2.0225145807125857,0.5969068565447782,0.4113927722273997,2.0225145807125857,5.4,73
35,2.0225145807125857,0.6009495170327945,0.3677938307967377,2.0225145807125857,3.85,25
36,2.0225145807125857,0.5613828011194885,0.4264118813131625,2.0225145807125857,3.2,19
37,2.0225145807125857,0.5273899630062157,0.4708004035570409,2.0225145807125857,5.275,31
38,2.0225145807125857,0.5771381630039192,0.384472973304584,2.0225145807125857,3.55,49
39,2.169230043047201,0.6616035270643996,0.4193670043827704,2.0225145807125857,2.4,16
40,2.169230043047201,0.6376088609006315,0.36469952614573253,2.169230043047201,4.2,49
41,2.169230043047201,0.7086132285175708,0.3248317863571631,2.169230043047201,3.925,49
42,2.169230043047201,0.694801335229288,0.3227326723658902,2.169230043047201,3.125,31
43,2.1831459023373325,0.7073858727773047,0.40618525907939707,2.169230043047201,2.825,22
44,2.1831459023373325,0.703265284960487,0.3180392314343696,2.1831459023373325,2.375,22
45,2.1831459023373325,0.738675977613366,0.31299047951849207,2.1831459023373325,3.15,18
46,2.1831459023373325,0.6281350276635536,0.36963991624778936,2.1831459023373325,3.775,22
47,2.1831459023373325,0.6214241928470419,0.3618736569602813,2.1831459023373325,2.525,22
48,2.1831459023373325,0.7137144217163154,0.3074157232017904,2.1831459023373325,1.725,11
49,2.1831459023373325,0.7745661089244209,0.24124776550899993,2.1831459023373325,2.5,19
50,2.1831459023373325,0.7286180488145304,0.44970202747079646,2.1831459023373325,3.525,31
51,2.1831459023373325,0.6064687232742922,0.4669695855003602,2.1831459023373325,3.55,23
52,2.1831459023373325,0.602965435956533,0.3981934951272177,2.1831459023373325,3.6,28
53,2.1831459023373325,0.6457304247438342,0.3645178348354907,2.1831459023373325,1.975,11
54,2.1831459023373325,0.7129288214777064,0.30841079220504075,2.1831459023373325,1.75,11
55,2.1831459023373325,0.6462623920601727,0.3790236957843856,2.1831459023373325,3.375,31
56,2.1831459023373325,0.6147793807887582,0.37103537966639183,2.1831459023373325,3.5,31
57,2.1831459023373325,0.6234511210662829,0.3574030367980561,2.1831459023373325,2.775,16
58,2.2008118455199757,0.738944564828682,0.39331880512337014,2.1831459023373325,3.275,24
59,2.2008118455199757,0.6985479635126056,0.42234968525263156,2.2008118455199757,4.225,31
60,2.2008118455199757,0.6381866267161959,0.3670577535671665,2.2008118455199757,5.625,49
61,2.2008118455199757,0.6829898927334926,0.3369298977038247,2.2008118455199757,2.0,13
62,2.2008118455199757,0.6696395962057147,0.3497139150993362,2.2008118455199757,3.375,40
63,2.2008118455199757,0.60282236386394,0.39459218895527365,2.2008118455199757,5.8,58
64,2.2008118455199757,0.7258952478664085,0.39372008372058104,2.2008118455199757,2.9,13
65,2.2008118455199757,0.5935582644526559,0.40421040572891914,2.2008118455199757,6.275,49
66,2.2008118455199757,0.6663977609245292,0.37492111305756143,2.2008118455199757,5.325,40
67,2.2008118455199757,0.6576266183744706,0.3633458446639426,2.2008118455199757,3.2,25
68,2.2008118455199757,0.6749963694748328,0.3366395038858719,2.2008118455199757,2.1,11
69,2.2008118455199757,0.5626107890666907,0.40317785503016107,2.2008118455199757,2.6,14
70,2.2008118455199757,0.675389899959223,0.34928235836167326,2.2008118455199757,3.0,28
71,2.2008118455199757,0.6136605018041545,0.385982881025896,2.2008118455199757,3.325,16
72,2.2008118455199757,0.6484313310050133,0.3638938219207982,2.2008118455199757,2.5,13
73,2.2053272966617063,0.6326164041020045,0.4579721899570341,2.2008118455199757,3.075,16
