generation,best_fitness,mean_fitness,std_fitness,best_ever,mean_links,max_links
0,1.2730248050981203,0.1975421961253932,0.29793039507620933,0,16.2,49
1,1.39546632780485,0.29884648195566177,0.3494974184503665,1.2730248050981203,11.1,25
2,1.39546632780485,0.33884951737818125,0.36270388560347244,1.39546632780485,10.675,28
3,2.8531255207617034,0.3959946342323465,0.5337400390670932,1.39546632780485,10.275,33
4,2.8531255207617034,0.3447780071027178,0.6290256635871112,2.8531255207617034,8.75,34
5,2.8861870325693273,0.44917579561129894,0.7848735174675742,2.8531255207617034,9.025,71
6,2.892411750105765,0.5668579855360271,0.8802100390874621,2.8861870325693273,5.225,21
7,2.892411750105765,0.5742307391677829,0.9924535951039429,2.892411750105765,5.45,22
8,2.892411750105765,0.26734186014943484,0.594724266909378,2.892411750105765,5.3,17
9,2.892411750105765,0.2833938753752399,0.6403225621573164,2.892411750105765,7.25,97
10,2.892411750105765,0.25389465360795055,0.6399166292475903,2.892411750105765,5.075,19
11,2.892411750105765,0.30981505980861035,0.7742407601480344,2.892411750105765,5.575,16
12,2.892411750105765,0.3322028447316083,0.7984845965234757,2.892411750105765,6.275,16
13,2.892411750105765,0.4591011198082618,0.8477430234582015,2.892411750105765,4.925,11
14,2.892411750105765,0.18288241252559567,0.539663226737269,2.892411750105765,6.2,22
15,2.892411750105765,0.3368323224903111,0.593148882030674,2.892411750105765,6.6,17
16,2.892411750105765,0.29375703367551254,0.5825289792027455,2.892411750105765,5.775,19
17,2.892411750105765,0.23986284294875254,0.49764690697001845,2.892411750105765,5.525,16
18,2.892411750105765,0.3688607689263571,0.6663096406233706,2.892411750105765,4.9,10
19,2.892411750105765,0.3809600999052849,0.6929821161346539,2.892411750105765,5.525,12
20,2.892411750105765,0.2725697777614455,0.6205767620242469,2.892411750105765,5.675,22
21,2.892411750105765,0.4533505095291156,0.772946760265066,2.892411750105765,5.05,13
22,2.9261396028946036,0.3866419737682284,0.7641460884223373,2.892411750105765,5.525,28
23,2.9261396028946036,0.3335270137215918,0.6523527542922293,2.9261396028946036,5.925,19
24,2.9261396028946036,0.20097296070505757,0.5016078965848888,2.9261396028946036,5.925,34
25,2.9261396028946036,0.28804666684624614,0.7112431399167553,2.9261396028946036,5.1,16
26,2.9261396028946036,0.4094862382498574,0.7914936991922172,2.9261396028946036,5.6,13
27,2.9261396028946036,0.40471648096026175,0.6482007081423394,2.9261396028946036,6.475,16
28,2.9261396028946036,0.34996210304850184,0.736742515836347,2.9261396028946036,6.275,21
29,2.9261396028946036,0.2275016437328488,0.5957879473601788,2.9261396028946036,7.175,29
30,2.9261396028946036,0.3456090025087084,0.750347091518487,2.9261396028946036,6.45,16
31,2.9261396028946036,0.41524460592955004,0.7117176377153807,2.9261396028946036,6.75,19
32,2.949962221097125,0.453128054698161,0.8661388760233439,2.9261396028946036,6.05,13
33,2.949962221097125,0.2085137017156075,0.5527686767315821,2.949962221097125,6.425,25
34,2.949962221097125,0.35967777160115144,0.7717297118865607,2.949962221097125,5.625,16
35,2.955089627601316,0.394021719725115,0.789177285103799,2.949962221097125,5.175,16
36,2.955089627601316,0.2436205882137638,0.5852107570810168,2.955089627601316,4.75,11
37,2.955089627601316,0.43530868374714216,0.8811172511753759,2.955089627601316,5.5,16
38,2.955089627601316,0.4294358892792391,0.9448929042652346,2.955089627601316,5.05,17
39,2.9582410791697784,0.785961580107384,1.1397020462451861,2.955089627601316,6.925,13
40,2.9582410791697784,0.4860835531587708,0.9443258055702098,2.9582410791697784,6.95,16
41,2.9582410791697784,0.395048988455012,0.7143258332940846,2.9582410791697784,5.5,16
42,2.9582410791697784,0.2948077222536859,0.6392558169098154,2.9582410791697784,4.95,16
43,2.980901604358107,0.5702844605820595,0.9414851343786315,2.9582410791697784,5.65,15
44,2.980901604358107,0.4524693749566807,0.8583389711919046,2.980901604358107,5.25,16
45,2.980901604358107,0.28168743829180126,0.7263948080893019,2.980901604358107,7.3,22
46,2.980901604358107,0.24078877932530984,0.6620452812756589,2.980901604358107,5.8,22
47,2.980901604358107,0.46475964839189654,0.8675013417335014,2.980901604358107,5.775,31
48,2.980901604358107,0.2623870938054191,0.7382760767392627,2.980901604358107,6.475,16
49,2.980901604358107,0.3062600040123537,0.6341862735858813,2.980901604358107,4.95,16
50,2.980901604358107,0.271240790620362,0.6881706461417664,2.980901604358107,5.525,20
51,2.980901604358107,0.20451659454368426,0.6172356767007162,2.980901604358107,6.525,22
52,2.980901604358107,0.18411419971633503,0.5037801490242215,2.980901604358107,7.05,19
53,2.980901604358107,0.29083159448519924,0.5506589768771271,2.980901604358107,7.55,28
54,2.980901604358107,0.25084674319247346,0.6143529199148752,2.980901604358107,4.925,15
55,2.980901604358107,0.16810780204007925,0.4756487371462019,2.980901604358107,4.725,11
56,2.980901604358107,0.39155556780163364,0.8137995813130066,2.980901604358107,5.15,16
57,2.993153413788428,0.3766588409315501,0.7398291356319374,2.980901604358107,5.675,16
58,2.993153413788428,0.3927788631542379,0.8236161844456182,2.993153413788428,5.725,22
59,2.993153413788428,0.36521598128454574,0.7817845217581212,2.993153413788428,5.325,16
60,2.993153413788428,0.41720622897680515,0.8487444291845101,2.993153413788428,5.675,16
61,2.993153413788428,0.19058503879243024,0.4951302328663892,2.993153413788428,5.6,16
62,2.993153413788428,0.2589483478839245,0.5489768928421412,2.993153413788428,5.05,19
63,3.0053580597169027,0.5148065911297003,0.8871985232247906,2.993153413788428,4.675,22
64,3.0053580597169027,0.3263361817075319,0.6186541238645734,3.0053580597169027,4.95,19
65,3.0053580597169027,0.32934528924363715,0.6262121248575239,3.0053580597169027,5.95,63
66,3.0053580597169027,0.24342109747589355,0.5687019930340786,3.0053580597169027,4.825,19
67,3.0053580597169027,0.4302116522373602,0.6630170982905524,3.0053580597169027,3.95,10
68,3.0053580597169027,0.5587676243810293,0.734395180319976,3.0053580597169027,4.15,10
69,3.0053580597169027,0.45195033013696806,0.6403846281206885,3.0053580597169027,3.55,10
70,3.0053580597169027,0.3806247577373657,0.6827057613299589,3.0053580597169027,3.525,10
71,3.0053580597169027,0.42943660748238005,0.7913623210615004,3.0053580597169027,3.275,7
72,3.0053580597169027,0.5991748689019467,0.8580950535763,3.0053580597169027,4.275,11
73,3.0053580597169027,0.4222434526936345,0.7716310471809157,3.0053580597169027,4.75,13
74,3.006488703649681,0.5172192906376678,0.8832673804589792,3.0053580597169027,6.1,13
75,3.006488703649681,0.3698602206607582,0.773187892021454,3.006488703649681,5.925,22
76,3.006488703649681,0.30792950157210963,0.6748071704398894,3.006488703649681,5.65,19
77,3.006488703649681,0.35543178752789195,0.7243987242364318,3.006488703649681,4.925,16
78,3.006488703649681,0.3105856439060715,0.6927274194161399,3.006488703649681,5.55,16
79,3.006488703649681,0.19484987596343878,0.5057247354532348,3.006488703649681,5.325,16
80,3.006488703649681,0.32964372896110594,0.6898889184756566,3.006488703649681,5.275,16
81,3.006488703649681,0.27790579449892705,0.7743119430700424,3.006488703649681,6.55,16
82,3.0282735072489,0.4942530633943991,0.8774069550274155,3.006488703649681,5.875,16
83,3.0282735072489,0.2975934809503058,0.6087900924401947,3.0282735072489,5.725,19
84,3.0282735072489,0.15745864104823834,0.4835459572921508,3.0282735072489,5.175,16
85,3.0282735072489,0.3065925033398469,0.6643762086966025,3.0282735072489,5.35,16
86,3.0282735072489,0.3176027511638225,0.6745133500276013,3.0282735072489,6.025,16
87,3.0282735072489,0.4789942340952723,0.8563651700493274,3.0282735072489,6.3,23
88,3.0282735072489,0.37782872941573664,0.773331100031212,3.0282735072489,5.075,16
89,3.0282735072489,0.3649942695194194,0.7887005070155598,3.0282735072489,5.6,16
90,3.0282735072489,0.31121631363950186,0.6754183770376309,3.0282735072489,6.5,28
91,3.0282735072489,0.4518624640051037,0.8518032056518359,3.0282735072489,6.3,31
92,3.0282735072489,0.3234478764384475,0.7782244417363801,3.0282735072489,5.4,11
93,3.0282735072489,0.43118654507188225,0.7670089885915458,3.0282735072489,5.25,16
94,3.0282735072489,0.29082698578345517,0.6748944097566438,3.0282735072489,5.775,13
95,3.0282735072489,0.47900603198628,0.9218739393260392,3.0282735072489,4.75,11
96,3.0282735072489,0.4015510630347672,0.7447745835599588,3.0282735072489,5.2,16
97,3.0282735072489,0.3992057194275946,0.7574881860274817,3.0282735072489,5.3,11
98,3.0282735072489,0.38989815860727894,0.7637323787731215,3.0282735072489,5.525,16
99,3.0282735072489,0.3327621431518775,0.6370325481805711,3.0282735072489,4.6,11
100,3.0282735072489,0.27864802522158105,0.5578858542781553,3.0282735072489,4.95,16
101,3.0282735072489,0.32886336099812424,0.7286962900863977,3.0282735072489,5.475,22
102,3.0282735072489,0.2609448154279044,0.7693482260629233,3.0282735072489,5.775,19
103,3.0282735072489,0.36500057536409747,0.7954037593971764,3.0282735072489,5.5,16
104,3.0282735072489,0.23805910579424144,0.5527769428882046,3.0282735072489,6.225,22
105,3.0282735072489,0.3765220505921852,0.810045104294831,3.0282735072489,4.975,13
106,3.0282735072489,0.3149681127444556,0.7384202466141188,3.0282735072489,4.95,11
107,3.0282735072489,0.3099491930514286,0.7598764282083702,3.0282735072489,4.825,10
108,3.0282735072489,0.3715522905651647,0.7929230718530793,3.0282735072489,6.3,17
109,3.0282735072489,0.41731369533589086,0.9070704607734059,3.0282735072489,6.075,16
110,3.0282735072489,0.28908359207830836,0.6266029513547697,3.0282735072489,6.375,16
111,3.0282735072489,0.40327456548307483,0.7849373793826935,3.0282735072489,4.975,16
112,3.0282735072489,0.26534853618504234,0.6178161833983288,3.0282735072489,5.35,16
113,3.0282735072489,0.4653685311740109,0.8982436726437831,3.0282735072489,5.125,11
114,3.0282735072489,0.287711075365798,0.6899329627281618,3.0282735072489,5.55,16
115,3.0282735072489,0.24425436102733183,0.5554113685233757,3.0282735072489,4.7,16
116,3.0282735072489,0.36347912637356616,0.5822700734157382,3.0282735072489,4.825,11
117,3.0282735072489,0.33314030532300876,0.6098566010256737,3.0282735072489,3.675,11
118,3.0282735072489,0.4418215312692119,0.7160352795655761,3.0282735072489,3.875,10
119,3.0282735072489,0.6353397491255676,0.9968383723240817,3.0282735072489,4.1,11
120,3.0282735072489,0.507550819302136,0.7966610441766732,3.0282735072489,4.5,16
121,3.0282735072489,0.3352634641953241,0.7290813875436791,3.0282735072489,4.45,16
122,3.059400629095289,0.23639900717781778,0.6652244354114494,3.0282735072489,4.2,10
123,3.059400629095289,0.2329686620080298,0.5824142334083068,3.059400629095289,5.175,16
124,3.059400629095289,0.5313622886938486,0.9886509082825269,3.059400629095289,6.2,17
125,3.059400629095289,0.5500642137331561,1.0459049275025125,3.059400629095289,5.975,16
126,3.059400629095289,0.1973078385198998,0.6203162763048029,3.059400629095289,5.975,16
127,3.0665347072732034,0.47473310015180614,0.9676092261419592,3.059400629095289,7.7,31
128,3.0665347072732034,0.4846906469574982,0.822782859700032,3.0665347072732034,6.65,34
129,3.0665347072732034,0.3030581358050969,0.6569892306072811,3.0665347072732034,5.925,22
130,3.0665347072732034,0.4657577093706241,0.8009041501156688,3.0665347072732034,6.15,16
131,3.0665347072732034,0.4889363762855908,0.9038507475194835,3.0665347072732034,6.25,16
132,3.0665347072732034,0.41056096853234536,0.807304758860636,3.0665347072732034,5.925,34
133,3.0665347072732034,0.43588011641093055,0.8991900178173452,3.0665347072732034,8.4,31
134,3.0665347072732034,0.29709540019846215,0.7024525232028275,3.0665347072732034,7.225,27
135,3.0665347072732034,0.26023445373841925,0.6486457119039608,3.0665347072732034,6.65,41
136,3.0665347072732034,0.33731252299666314,0.6671186481694468,3.0665347072732034,6.3,16
137,3.0665347072732034,0.340620277302099,0.7110112693844619,3.0665347072732034,6.0,19
138,3.0665347072732034,0.34207783349277976,0.7018816269220237,3.0665347072732034,6.15,16
139,3.0665347072732034,0.36848210778604307,0.7876898292211408,3.0665347072732034,6.325,46
140,3.0665347072732034,0.31573053561772346,0.632048967255989,3.0665347072732034,5.575,22
141,3.0665347072732034,0.18084017563537494,0.49135589844460287,3.0665347072732034,4.6,11
142,3.0665347072732034,0.20059809213005905,0.5181551587305214,3.0665347072732034,5.075,16
143,3.0665347072732034,0.3477639192683373,0.7932932300911175,3.0665347072732034,6.725,16
144,3.0665347072732034,0.41514497009589774,0.8543937433401197,3.0665347072732034,5.1,16
145,3.0796774819191493,0.48146278123698216,0.982967237804965,3.0665347072732034,5.45,16
146,3.0796774819191493,0.6126994405058066,0.9898362694946123,3.0796774819191493,5.7,11
147,3.0796774819191493,0.32687404926232366,0.7686721840620365,3.0796774819191493,6.15,22
148,3.0796774819191493,0.3742170749108628,0.814745720219147,3.0796774819191493,5.05,16
149,3.0796774819191493,0.4659237965853382,0.853969401774237,3.0796774819191493,6.0,34
150,3.0796774819191493,0.3894441621512333,0.7808927160478205,3.0796774819191493,6.725,32
151,3.0796774819191493,0.2730093906387455,0.6623619066631449,3.0796774819191493,6.7,34
152,3.0796774819191493,0.5627051866138987,0.8914640233149512,3.0796774819191493,5.875,14
153,3.0796774819191493,0.24817926998779063,0.6392970677033961,3.0796774819191493,5.55,22
154,3.0796774819191493,0.4693527103802485,0.9180318187361151,3.0796774819191493,5.475,17
155,3.0796774819191493,0.32000147529233136,0.7787573967587013,3.0796774819191493,4.8,11
156,3.0796774819191493,0.3573708619316144,0.7630602984692302,3.0796774819191493,5.25,13
157,3.0796774819191493,0.3243787589099082,0.7034579434473164,3.0796774819191493,5.275,11
158,3.0796774819191493,0.4003335539103533,0.7891278365468473,3.0796774819191493,6.425,29
159,3.0796774819191493,0.2801672148793421,0.633026133217029,3.0796774819191493,5.85,16
160,3.0796774819191493,0.31068490728917963,0.6581228222425013,3.0796774819191493,5.025,16
161,3.0796774819191493,0.35261387010914685,0.7450002607619344,3.0796774819191493,5.8,13
162,3.0796774819191493,0.4399264861474004,0.8357613452421884,3.0796774819191493,5.6,13
163,3.0796774819191493,0.5300974878292045,0.8743407234758224,3.0796774819191493,6.6,16
164,3.0796774819191493,0.38775112213483104,0.795079473746911,3.0796774819191493,5.5,17
165,3.0796774819191493,0.33948168443667787,0.8344837269358069,3.0796774819191493,5.475,16
166,3.0796774819191493,0.4751004044474703,0.8510035426173777,3.0796774819191493,4.875,11
167,3.0796774819191493,0.5170363095069548,0.9563698365014249,3.0796774819191493,5.7,16
