generation,best_fitness,mean_fitness,std_fitness,best_ever,mean_links,max_links
0,1.2994617072625856,0.21084386601803318,0.2980868345740901,0,13.775,25
1,1.2994617072625856,0.29650503351194557,0.37654557685615897,1.2994617072625856,14.35,49
2,1.2994617072625856,0.22128413414464973,0.28650014664682644,1.2994617072625856,10.625,27
3,1.2994617072625856,0.3745187301440787,0.36263692831954336,1.2994617072625856,9.15,25
4,1.3658506518713696,0.3497818620494333,0.3902722019941432,1.2994617072625856,9.1,25
5,1.3658506518713696,0.3077909935721732,0.3605242810882574,1.3658506518713696,9.2,25
6,1.5276573845682926,0.23227287165797766,0.36296075823951746,1.3658506518713696,7.55,22
7,1.5276573845682926,0.28237385321903297,0.36195767602821494,1.5276573845682926,7.75,25
8,1.5276573845682926,0.3223777947472187,0.37937787625636316,1.5276573845682926,7.625,19
9,1.5276573845682926,0.3008032717638076,0.3641740376074131,1.5276573845682926,7.35,19
10,1.5276573845682926,0.3933547669383792,0.35780561579648634,1.5276573845682926,8.65,30
11,1.5276573845682926,0.42606864844822756,0.37771432173761643,1.5276573845682926,7.45,30
12,1.5276573845682926,0.4134665255852896,0.38621091860826207,1.5276573845682926,6.55,40
13,1.5276573845682926,0.4447139137729338,0.34526083423865195,1.5276573845682926,4.9,17
14,1.7725263062782848,0.6126664581501966,0.41268316637648245,1.5276573845682926,5.375,22
15,2.0616633810162,0.6086372049914444,0.4213609551606939,1.7725263062782848,2.975,20
16,2.0616633810162,0.6031369641866557,0.42958163007063327,2.0616633810162,3.35,21
17,2.0616633810162,0.5418296654332168,0.39043505332954276,2.0616633810162,4.025,25
18,2.0616633810162,0.5800411163142907,0.376051248782966,2.0616633810162,2.85,13
19,2.0616633810162,0.6803526876740265,0.4657236546119561,2.0616633810162,2.475,7
20,2.0616633810162,0.6814715428954138,0.4677972416435757,2.0616633810162,2.375,5
21,2.0616633810162,0.5952902557660279,0.42328577932659095,2.0616633810162,2.95,10
22,2.0616633810162,0.539943125600564,0.3829499566295001,2.0616633810162,3.075,15
23,2.0616633810162,0.5839707586716973,0.35697428401647957,2.0616633810162,2.125,5
24,2.0616633810162,0.5817373636895592,0.35702808320394985,2.0616633810162,2.35,10
25,2.0616633810162,0.6027773576171,0.3633538430954914,2.0616633810162,2.025,10
26,2.0616633810162,0.6553486938205568,0.3197996582903485,2.0616633810162,1.8,4
27,2.0616633810162,0.7802146036694243,0.398888945277436,2.0616633810162,2.2,5
28,2.0616633810162,0.7224753841984588,0.45510409782873373,2.0616633810162,2.45,5
29,2.0616633810162,0.567410451934675,0.38053467746304775,2.0616633810162,2.275,7
30,2.0616633810162,0.6095757505314967,0.3598553002147941,2.0616633810162,1.875,5
31,2.0616633810162,0.7570857058279173,0.33766648829216817,2.0616633810162,1.7,5
32,2.0616633810162,0.6684265979341838,0.32540564898785135,2.0616633810162,1.725,7
33,2.0616633810162,0.7805458635300834,0.34146141959594367,2.0616633810162,1.675,4
34,2.0616633810162,0.7020973241381879,0.33256175965898155,2.0616633810162,1.75,4
35,2.0616633810162,0.6406709583655837,0.3291693719868215,2.0616633810162,2.05,7
36,2.0616633810162,0.650611646615731,0.3681460783958934,2.0616633810162,2.25,11
37,2.0616633810162,0.7504403384348081,0.46445480952946233,2.0616633810162,2.15,10
38,2.0616633810162,0.6768695256690581,0.40408362754172494,2.0616633810162,2.45,10
39,2.0616633810162,0.6139105459928216,0.3593931720719222,2.0616633810162,1.825,5
40,2.0616633810162,0.7075859661353305,0.34286653565836767,2.0616633810162,1.7,5
